BankAccount,Customer
SE8902EPWK73250364544965,Sofie Ibrahim
SE8902IDSK51225196610969,Sofie Ibrahim
SE8902OGIV86383792142837,Mona Lundgren
SE8902QZEZ52320024971424,Mona Lundgren
SE8902DWZI85436013187521,Tuulikki Blomqvist
SE8902UJGR36411837401781,Tuulikki Blomqvist
SE8902VAPD72818464374400,Tuulikki Blomqvist
SE8902VEIB72029945509184,Tuulikki Blomqvist
SE8902CHSI75448480838708,Tuulikki Blomqvist
SE8902XPHQ15953762308017,Maria Lund
SE8902VBHN50052224387585,Maria Lund
SE8902URSS59260219235990,Isabelle Hjelm-Larsson
SE8902IQRO13056391101908,Camilla Johansson
SE8902GXLB05514229654020,Hanna Hassan
SE8902KWAF90270853352878,Hanna Hassan
SE8902MLNA56994057710583,Hanna Hassan
SE8902JIJC96071565969922,Hanna Hassan
SE8902BWXT39949824641151,Lova Sundberg-Olsson
SE8902TKNC87869236455689,Lova Sundberg-Olsson
SE8902PSRJ65756431691707,Lova Sundberg-Olsson
SE8902SILE68578227700598,Anna Rosenberg
SE8902UTKP18439002370878,Anna Rosenberg
SE8902HQID54921038055598,Anna Rosenberg
SE8902CMWE25531271390672,Ida Haraldsson
SE8902ZWKL91581622045409,Mary Persson
SE8902NHEC01255630352421,Mary Persson
SE8902HRZI51889347255465,Stina Jansson
SE8902AVQC54172602808950,Stina Jansson
SE8902YHDH55973704252760,Mari Granath Åkesson
SE8902BABM26306156053804,Mari Granath Åkesson
SE8902UNAU13611272599268,Mari Granath Åkesson
SE8902ZJVA11817265425330,Karin Nilsson
SE8902JFQL02168511886094,Kerstin Andersson
SE8902COVG23577172278709,Kerstin Andersson
SE8902HWHC81157429988113,Kerstin Andersson
SE8902IDYW61560887680926,Maria Eklund
SE8902VBXW33852287376238,Amanda Lundgren
SE8902TTDD62882365317340,Maria Berg
SE8902JDLY63782567946635,Joanna Åkerlund
SE8902PKJC56529381306922,Joanna Åkerlund
SE8902PLTU47854504283727,Margareta Eriksson
SE8902QBPI92232356394837,Anna Andersson
SE8902NPMZ64718534936104,Anna Andersson
SE8902ERJA13877835143324,Laila Fransson Hedlund
SE8902OKVE09579666832306,Agnes Karlsson
SE8902BPMW61406251979814,Elsa Svensson
SE8902YLGE04073464233597,Elsa Svensson
SE8902TCZL47145018856917,Kristina Åström
SE8902ZNRZ32368916134263,Gunnel Pettersson
SE8902WSHS28438837480311,Gunnel Pettersson
SE8902NDNE36671961231780,Agneta Ekman
SE8902OLFT37200388827050,Cecilia Ottosson Lindblom
SE8902JQHT00463203687003,Cecilia Ottosson Lindblom
SE8902IIVG09252145366202,Cecilia Ottosson Lindblom
SE8902EYGF77551822415743,Ester Ekelund
SE8902LVSQ11356198112962,Sabina Johansson-Omar
SE8902YVWX44120455116841,Erika Wiberg Nilsson
SE8902DQWP79606697709694,Erika Wiberg Nilsson
SE8902XXCG81260198384509,Erika Wiberg Nilsson
SE8902UTYY22254486734176,Edit Ahlström-Samuelsson
SE8902UPQN50233742051449,Olga Carlsson
SE8902EWZR85142291879165,Madeleine Larsson Lundström
SE8902KLMT84633622382072,Ellen Nilsson
SE8902DBWG37143242474670,Ellen Nilsson
SE8902MTEW80340871788369,Maj-Britt Hagberg-Bergström
SE8902WSLA24954889786348,Maj-Britt Hagberg-Bergström
SE8902VJHZ33855900402507,Maj-Britt Hagberg-Bergström
SE8902DZEM65843874009450,Eva Pettersson-Karlberg
SE8902GFAS09862022036004,Louise Blomqvist
SE8902IWLJ80369151603079,Louise Blomqvist
SE8902AORR62231578413137,Stina Larsson Andersson
SE8902UOQA63786044169527,Stina Larsson Andersson
SE8902TJBO76009734317061,Kristina Ekman Gustafsson
SE8902KIDF78947091109600,Kristina Ekman Gustafsson
SE8902FUJI48043244293392,Kristina Brandt
SE8902QPHE36884244476446,Kristina Brandt
SE8902RQLR53927445231063,Joanna Torstensson-Svensson
SE8902VATX29635590400151,Lilian Andersson
SE8902MMZN38846965231738,Karin Persson
SE8902DAYC14364335693782,Eivor Svensson
SE8902FALW17606613401607,Eivor Svensson
SE8902WZEL99650586037049,Julia Karlsson
SE8902DRZG97085120488113,Victoria Ek
SE8902QJSX02120298481356,Victoria Ek
SE8902IMEB42197421849807,Victoria Ek
SE8902JXJJ56306612147768,Maria Eriksson
SE8902AZMF62874749728667,Maria Eriksson
SE8902TRVE47135720140849,Eva Jonsson-Berg
SE8902KNBO14478747094323,Anna Wahlström Lundin
SE8902PQTU50864263302777,Anna Wahlström Lundin
SE8902YUYG10929263320035,Tindra Jonsson
SE8902LUTP25647153659821,Tindra Jonsson
SE8902ZDMU73833226690524,Sandra Sjöberg
SE8902LFPB25372838213647,Sandra Sjöberg
SE8902MJPO40977388006286,Zahra Flink
SE8902PLXR29095818137187,Helen Johansson
SE8902QIQI47434237190569,Helen Johansson
SE8902CRWQ10550122839130,Alice Lundgren
SE8902PVRO74801343887399,Birgitta Ståhl-Hultgren
SE8902KPIO16227949467449,Margareta Lund
SE8902OZOM23207181936410,Tova Gustafsson Bengtsson
SE8902NVPZ06971021222436,Tova Gustafsson Bengtsson
SE8902KLVA35234334264887,Tova Gustafsson Bengtsson
SE8902SNNM24012074185591,Ann Nilsson
SE8902DRXY50176432565193,Agnes Åberg
SE8902YMVD57211621327275,Lilian Axelsson
SE8902WRRU80784544437204,Lilian Axelsson
SE8902GAFL88123638280516,Kristina Hansen
SE8902JPPD16064860435781,Anna Dahlin Ågren
SE8902FSHA42297476809642,Ingrid Bäckström Persson
SE8902LWGY12400441776877,Ingrid Bäckström Persson
SE8902OYBW39299291170957,Ulla Hellman
SE8902IJUF89235594362096,Maria Axelsson
SE8902DPTT93032573974424,Maria Axelsson
SE8902WJJF53894909945600,Linnéa Eriksson-Byström
SE8902NZPO70353430427963,Birgitta Nilsson
SE8902IMDH11855815032434,Birgitta Nilsson
SE8902UITH42469834496346,Birgitta Nilsson
SE8902QPGW46075376024266,Louise Wall
SE8902LKXQ69920608322446,Carina Pettersson Nylander
SE8902PCFD04141042982858,Maria Frank
SE8902FAAO97542766702624,Astrid Backlund
SE8902ONZU44479921442383,Astrid Backlund
SE8902POYE56306553396402,Sara Svensson
SE8902IEHG40560196591529,Christina Olofsson
SE8902BUFN52320844378385,Cristina Persson
SE8902VDAM04395711962652,Margareta Olsson
SE8902EJLS77341060789288,Gun Jansson
SE8902POUN96279557917869,Gun Jansson
SE8902VYBF24172056441453,Gun Jansson
SE8902KKUH06675943754803,Gun Jansson
SE8902DSLW17149818922650,Linnéa Ottosson
SE8902MQKC26955141529313,Linnéa Ottosson
SE8902XNEE54146257506129,Linnéa Ottosson
SE8902BXJC93392072105707,Ylva Nilsson
